iteration: 500/100000, 	val loss: 4.089830033779144, 	train loss: 6.918695865790047, 	best loss: 4.089830033779144
iteration: 1000/100000, 	val loss: 3.280423254966736, 	train loss: 3.5900287010272334, 	best loss: 3.280423254966736
iteration: 1500/100000, 	val loss: 2.6718353259563448, 	train loss: 2.877771667718888, 	best loss: 2.6718353259563448
iteration: 2000/100000, 	val loss: 2.3938325452804565, 	train loss: 2.552999663352964, 	best loss: 2.3938325452804565
iteration: 2500/100000, 	val loss: 2.0352741050720216, 	train loss: 2.2648318414290767, 	best loss: 2.0352741050720216
iteration: 3000/100000, 	val loss: 2.048248983621597, 	train loss: 2.0417897737622246, 	best loss: 2.0352741050720216
iteration: 3500/100000, 	val loss: 1.8938921546936036, 	train loss: 1.8891101206541072, 	best loss: 1.8938921546936036
iteration: 4000/100000, 	val loss: 1.918795450925827, 	train loss: 1.7863542487919322, 	best loss: 1.8938921546936036
iteration: 4500/100000, 	val loss: 1.6973265540599822, 	train loss: 1.6710432790915164, 	best loss: 1.6973265540599822
iteration: 5000/100000, 	val loss: 1.6470936489105226, 	train loss: 1.616228737036387, 	best loss: 1.6470936489105226
iteration: 5500/100000, 	val loss: 1.6831178188323974, 	train loss: 1.5732844568689663, 	best loss: 1.6470936489105226
iteration: 6000/100000, 	val loss: 1.6928086221218108, 	train loss: 1.5202758523424467, 	best loss: 1.6470936489105226
iteration: 6500/100000, 	val loss: 1.6233925944566727, 	train loss: 1.4816998312870653, 	best loss: 1.6233925944566727
iteration: 7000/100000, 	val loss: 1.6061336398124695, 	train loss: 1.464466674089432, 	best loss: 1.6061336398124695
iteration: 7500/100000, 	val loss: 1.5350176727771758, 	train loss: 1.4481934317350382, 	best loss: 1.5350176727771758
iteration: 8000/100000, 	val loss: 1.4793921756744384, 	train loss: 1.4193383572995681, 	best loss: 1.4793921756744384
iteration: 8500/100000, 	val loss: 1.534958784878254, 	train loss: 1.4103211664060737, 	best loss: 1.4793921756744384
iteration: 9000/100000, 	val loss: 1.4208958238363265, 	train loss: 1.3702253137032183, 	best loss: 1.4208958238363265
iteration: 9500/100000, 	val loss: 1.464564925134182, 	train loss: 1.3552990775605043, 	best loss: 1.4208958238363265
iteration: 10000/100000, 	val loss: 1.4009742099046707, 	train loss: 1.347418976336718, 	best loss: 1.4009742099046707
iteration: 10500/100000, 	val loss: 1.4195182943344116, 	train loss: 1.3371127814253163, 	best loss: 1.4009742099046707
iteration: 11000/100000, 	val loss: 1.3936241751909255, 	train loss: 1.337015725940466, 	best loss: 1.3936241751909255
iteration: 11500/100000, 	val loss: 1.548442097902298, 	train loss: 1.3241096759835878, 	best loss: 1.3936241751909255
iteration: 12000/100000, 	val loss: 1.4939119273424148, 	train loss: 1.3183908402721087, 	best loss: 1.3936241751909255
iteration: 12500/100000, 	val loss: 1.3644957619905471, 	train loss: 1.2953001627226668, 	best loss: 1.3644957619905471
iteration: 13000/100000, 	val loss: 1.4171024560928345, 	train loss: 1.280050670276087, 	best loss: 1.3644957619905471
iteration: 13500/100000, 	val loss: 1.4354195648431778, 	train loss: 1.2767092895259464, 	best loss: 1.3644957619905471
iteration: 14000/100000, 	val loss: 1.2915796089172362, 	train loss: 1.2718906777203078, 	best loss: 1.2915796089172362
iteration: 14500/100000, 	val loss: 1.4445478761196135, 	train loss: 1.256675512542326, 	best loss: 1.2915796089172362
iteration: 15000/100000, 	val loss: 1.3024150341749192, 	train loss: 1.2583591573039685, 	best loss: 1.2915796089172362
iteration: 15500/100000, 	val loss: 1.3477540737390519, 	train loss: 1.257372567400338, 	best loss: 1.2915796089172362
