epoch: 0/200, 	loss: 3.873415962935704,	 best_loss: 3.873415962935704
epoch: 1/200, 	loss: 2.467110314223972,	 best_loss: 2.467110314223972
epoch: 2/200, 	loss: 1.6183973299065217,	 best_loss: 1.6183973299065217
epoch: 3/200, 	loss: 1.0868298538445216,	 best_loss: 1.0868298538445216
epoch: 4/200, 	loss: 0.7817055625358814,	 best_loss: 0.7817055625358814
epoch: 5/200, 	loss: 0.6279136910656382,	 best_loss: 0.6279136910656382
epoch: 6/200, 	loss: 0.5398275772932217,	 best_loss: 0.5398275772932217
epoch: 7/200, 	loss: 0.4872747274824811,	 best_loss: 0.4872747274824811
epoch: 8/200, 	loss: 0.44964655008412857,	 best_loss: 0.44964655008412857
epoch: 9/200, 	loss: 0.42079197712961186,	 best_loss: 0.42079197712961186
epoch: 10/200, 	loss: 0.3974388805742796,	 best_loss: 0.3974388805742796
epoch: 11/200, 	loss: 0.3781468392326142,	 best_loss: 0.3781468392326142
epoch: 12/200, 	loss: 0.3624273783966975,	 best_loss: 0.3624273783966975
epoch: 13/200, 	loss: 0.3498919808017421,	 best_loss: 0.3498919808017421
epoch: 14/200, 	loss: 0.33911884841580076,	 best_loss: 0.33911884841580076
epoch: 15/200, 	loss: 0.3295712117011172,	 best_loss: 0.3295712117011172
epoch: 16/200, 	loss: 0.32103588871544386,	 best_loss: 0.32103588871544386
epoch: 17/200, 	loss: 0.31385038836958445,	 best_loss: 0.31385038836958445
epoch: 18/200, 	loss: 0.3088528542651743,	 best_loss: 0.3088528542651743
epoch: 19/200, 	loss: 0.3039230766332694,	 best_loss: 0.3039230766332694
epoch: 20/200, 	loss: 0.2990916612335873,	 best_loss: 0.2990916612335873
epoch: 21/200, 	loss: 0.2948576604956903,	 best_loss: 0.2948576604956903
epoch: 22/200, 	loss: 0.29184382503407863,	 best_loss: 0.29184382503407863
epoch: 23/200, 	loss: 0.28901609725455946,	 best_loss: 0.28901609725455946
epoch: 24/200, 	loss: 0.28638175113249553,	 best_loss: 0.28638175113249553
epoch: 25/200, 	loss: 0.2834553128117837,	 best_loss: 0.2834553128117837
epoch: 26/200, 	loss: 0.2813385059688297,	 best_loss: 0.2813385059688297
epoch: 27/200, 	loss: 0.2789748346896341,	 best_loss: 0.2789748346896341
epoch: 28/200, 	loss: 0.27740288876034885,	 best_loss: 0.27740288876034885
