epoch: 0/100, 	loss: 2.038505491283205,	 best_loss: 2.038505491283205
epoch: 1/100, 	loss: 1.636863107744016,	 best_loss: 1.636863107744016
epoch: 2/100, 	loss: 1.3230921237440834,	 best_loss: 1.3230921237440834
epoch: 3/100, 	loss: 1.0807179623005683,	 best_loss: 1.0807179623005683
epoch: 4/100, 	loss: 0.8929127835129437,	 best_loss: 0.8929127835129437
epoch: 5/100, 	loss: 0.7419764474905722,	 best_loss: 0.7419764474905722
epoch: 6/100, 	loss: 0.6491154451467838,	 best_loss: 0.6491154451467838
epoch: 7/100, 	loss: 0.5684609414454092,	 best_loss: 0.5684609414454092
epoch: 8/100, 	loss: 0.519306170530835,	 best_loss: 0.519306170530835
epoch: 9/100, 	loss: 0.4867074461926145,	 best_loss: 0.4867074461926145
epoch: 10/100, 	loss: 0.4264073435064645,	 best_loss: 0.4264073435064645
epoch: 11/100, 	loss: 0.40051359574348605,	 best_loss: 0.40051359574348605
epoch: 12/100, 	loss: 0.38038854355439106,	 best_loss: 0.38038854355439106
epoch: 13/100, 	loss: 0.3509168224245833,	 best_loss: 0.3509168224245833
epoch: 14/100, 	loss: 0.32953766583089245,	 best_loss: 0.32953766583089245
epoch: 15/100, 	loss: 0.33499943289622575,	 best_loss: 0.32953766583089245
epoch: 16/100, 	loss: 0.3241171218149843,	 best_loss: 0.3241171218149843
epoch: 17/100, 	loss: 0.297710441750044,	 best_loss: 0.297710441750044
epoch: 18/100, 	loss: 0.29104931219017993,	 best_loss: 0.29104931219017993
epoch: 19/100, 	loss: 0.286366479209902,	 best_loss: 0.286366479209902
epoch: 20/100, 	loss: 0.2537794921176824,	 best_loss: 0.2537794921176824
epoch: 21/100, 	loss: 0.27163570507140883,	 best_loss: 0.2537794921176824
epoch: 22/100, 	loss: 0.26649600609439855,	 best_loss: 0.2537794921176824
epoch: 20/100, 	loss: 0.33979071166954544,	 best_loss: 0.2537794921176824
